source_idc_sha256,address,end_address,size,body_ranges,name,prototype,flags,binary_kind
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404B10,0x00404EEF,991,0x00404B10-0x00404EEF,sub_404B10,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404EF0,0x00404F7A,138,0x00404EF0-0x00404F7A,sub_404EF0,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404F80,0x00404F83,3,0x00404F80-0x00404F83,nullsub_23,,0x5440,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404F90,0x00404FA4,20,0x00404F90-0x00404FA4,sub_404F90,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00404FB0,0x0040501C,137,0x00404FB0-0x0040501C;0x00650772-0x0065078F,sub_404FB0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405020,0x0040504A,42,0x00405020-0x0040504A,sub_405020,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405050,0x00405093,67,0x00405050-0x00405093,sub_405050,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004050A0,0x00405131,145,0x004050A0-0x00405131,sub_4050A0,"int __stdcall sub_4050A0(int, char *String1);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405140,0x0040559B,1285,0x00405140-0x0040559B;0x0065078F-0x00650839,sub_405140,"int __cdecl sub_405140(int, char *Str, int);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004055A0,0x00405910,1028,0x004055A0-0x00405910;0x00650839-0x006508CD,sub_4055A0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405910,0x00405B01,497,0x00405910-0x00405B01,sub_405910,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405B10,0x00405B15,5,0x00405B10-0x00405B15,sub_405B10,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405B20,0x00405C72,338,0x00405B20-0x00405C72,sub_405B20,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00405C80,0x00406251,1489,0x00405C80-0x00406251,sub_405C80,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406260,0x00406323,195,0x00406260-0x00406323,sub_406260,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406330,0x0040637C,76,0x00406330-0x0040637C,sub_406330,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406380,0x004064CC,332,0x00406380-0x004064CC,sub_406380,"int __stdcall sub_406380(char *Str1, int, int, int, int, int);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004064D0,0x0040666F,583,0x004064D0-0x0040666F;0x006508D0-0x00650978,sub_4064D0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406670,0x004066BB,75,0x00406670-0x004066BB,sub_406670,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004066C0,0x00406818,365,0x004066C0-0x00406818;0x00650980-0x00650995,sub_4066C0,,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406820,0x0040683B,27,0x00406820-0x0040683B,sub_406820,void __thiscall sub_406820(void *);,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406840,0x00406846,6,0x00406840-0x00406846,sub_406840,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406850,0x00406855,5,0x00406850-0x00406855,sub_406850,void __thiscall sub_406850(void *);,0x5480,thunk
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406860,0x00406879,25,0x00406860-0x00406879,sub_406860,,0x5400,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406880,0x004068D8,106,0x00406880-0x004068D8;0x006509A0-0x006509B2,sub_406880,void __thiscall sub_406880(void *);,0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x004068E0,0x00406901,33,0x004068E0-0x00406901,sub_4068E0,"int __thiscall sub_4068E0(void *Block, char);",0x5410,game
42032fc2807f7dec6de1ed6efb9d18a70668a015f23e32d58149c9d9952bc0a7,0x00406910,0x00406A74,590,0x00406910-0x00406A74;0x006509C0-0x00650AAA,sub_406910,,0x5410,game
