class,offset,name,size,type
AlphaNet,0xFF4,field_FF4,4,
AlphaNet,0xFF8,field_FF8,4,
AlphaNet,0xFFC,field_FFC,4,
AlphaNet,0x1000,field_1000,4,
AlphaNet,0x1004,field_1004,4,
AlphaNet,0x1008,field_1008,4,
AlphaNet,0x100C,field_100C,4,
AlphaNet,0x1010,field_1010,4,
AlphaNet,0x1014,field_1014,4,
AlphaNet,0x1018,field_1018,4,
AlphaNet,0x101C,field_101C,4,
AlphaNet,0x1020,field_1020,4,
AlphaNet,0x1024,field_1024,4,
AlphaNet,0x1028,field_1028,4,
AlphaNet,0x102C,field_102C,4,
AlphaNet,0x1030,field_1030,4,
AlphaNet,0x1034,field_1034,4,
AlphaNet,0x1038,field_1038,4,
AlphaNet,0x103C,field_103C,4,
AlphaNet,0x1040,field_1040,4,
AlphaNet,0x1044,field_1044,4,
AlphaNet,0x1048,field_1048,4,
AlphaNet,0x104C,field_104C,4,
AlphaNet,0x1050,field_1050,4,
AlphaNet,0x1054,field_1054,4,
AlphaNet,0x1058,field_1058,4,
AlphaNet,0x105C,field_105C,4,
AlphaNet,0x1060,field_1060,4,
AlphaNet,0x1064,field_1064,4,
AlphaNet,0x1068,field_1068,4,
AlphaNet,0x106C,field_106C,4,
AlphaNet,0x1070,field_1070,4,
AlphaNet,0x1074,field_1074,4,
AlphaNet,0x1078,field_1078,4,
AlphaNet,0x107C,field_107C,4,
AlphaNet,0x1080,field_1080,4,
AlphaNet,0x1084,field_1084,4,
AlphaNet,0x1088,field_1088,4,
AlphaNet,0x108C,field_108C,4,
AlphaNet,0x1090,field_1090,4,
AlphaNet,0x1094,field_1094,4,
AlphaNet,0x1098,field_1098,4,
AlphaNet,0x109C,field_109C,4,
AlphaNet,0x10A0,field_10A0,4,
AlphaNet,0x10A4,field_10A4,4,
AlphaNet,0x10A8,field_10A8,4,
AlphaNet,0x10AC,field_10AC,4,
AlphaNet,0x10B0,field_10B0,4,
AlphaNet,0x10B4,field_10B4,4,
AlphaNet,0x10B8,field_10B8,4,
AlphaNet,0x10BC,field_10BC,4,
AlphaNet,0x10C0,field_10C0,4,
AlphaNet,0x10C4,field_10C4,4,
AlphaNet,0x10C8,field_10C8,4,
AlphaNet,0x10CC,field_10CC,4,
AlphaNet,0x10D0,field_10D0,4,
AlphaNet,0x10D4,field_10D4,4,
AlphaNet,0x10D8,field_10D8,4,
AlphaNet,0x10DC,field_10DC,4,
AlphaNet,0x10E0,field_10E0,4,
AlphaNet,0x10E4,field_10E4,4,
AlphaNet,0x10E8,field_10E8,4,
AlphaNet,0x10EC,field_10EC,4,
AlphaNet,0x10F0,field_10F0,4,
AlphaNet,0x10F4,field_10F4,4,
AlphaNet,0x10F8,field_10F8,4,
AlphaNet,0x10FC,field_10FC,4,
AlphaNet,0x1100,field_1100,4,
AlphaNet,0x1104,field_1104,4,
AlphaNet,0x1108,field_1108,4,
AlphaNet,0x110C,field_110C,4,
AlphaNet,0x1110,field_1110,4,
AlphaNet,0x1114,field_1114,4,
AlphaNet,0x1118,field_1118,4,
AlphaNet,0x111C,field_111C,4,
AlphaNet,0x1120,field_1120,4,
AlphaNet,0x1124,field_1124,4,
