address,name,shape
0x0044B330,??3FameWin@@SAXPAXI@Z,loop
0x0044C820,nullsub_3,straight_line
0x0044C850,nullsub_191,straight_line
0x0044C870,sub_44c870,straight_line
0x0044C880,?help_tech@@YAXH@Z,straight_line
0x0044C8A0,nullsub_226,straight_line
0x0044C8B0,nullsub_227,straight_line
0x0044C8C0,sub_44c8c0,straight_line
0x0044C8D0,nullsub_229,straight_line
0x0044C8E0,nullsub_230,straight_line
0x0044C8F0,nullsub_231,straight_line
0x0044C900,nullsub_232,straight_line
0x0044C910,?help_weapon@@YAXH@Z,straight_line
0x0044C930,nullsub_233,straight_line
0x0044C940,?help_armor@@YAXH@Z,straight_line
0x0044C960,nullsub_234,straight_line
0x0044C970,sub_44c970,straight_line
0x0044C980,?help_chassis@@YAXH@Z,straight_line
0x0044C9A0,nullsub_235,straight_line
0x0044C9B0,?help_facility@@YAXH@Z,straight_line
0x0044C9D0,nullsub_236,straight_line
0x0044CA00,nullsub_237,straight_line
0x0044CA10,?help_abil@@YAXH@Z,straight_line
0x0044CA30,nullsub_238,straight_line
0x0044CA40,?help_social@@YAXH@Z,straight_line
0x0044CA60,nullsub_239,straight_line
0x0044CA70,?help_faction@@YAXH@Z,straight_line
0x0044CAC0,nullsub_240,straight_line
